Datum;Ferientag
28.08.2018;1
29.08.2018;1
30.08.2018;1
31.08.2018;1
29.10.2018;1
30.10.2018;1
31.10.2018;1
22.12.2018;1
23.12.2018;1
27.12.2018;1
28.12.2018;1
29.12.2018;1
30.12.2018;1
31.12.2018;1

